run_n,seed_train,seed_test,seed_dist,seed_metrics,ndims,nsamples_train,nsamples_val,nsamples_test,correlation,nbijectors,bijector,spline_knots,range_min,hidden_layers,trainable_parameters,non_trainable_parameters,batch_size,activation,regulariser,eps_regulariser,training_device,epochs_input
6,187,188,0,0,4,100000,30000,100000,,5,RealNVPN,--,-5,256-256-256,666900,0,256,relu,,0.0,NVIDIA A40,1000
9,377,378,0,0,4,100000,30000,100000,,5,RealNVPN,--,-5,128-128-128,169620,0,256,relu,,0.0,NVIDIA A40,1000
19,520,521,0,0,4,100000,30000,100000,,10,RealNVPN,--,-5,128-128-128,339240,0,256,relu,,0.0,NVIDIA A40,1000
31,869,870,0,0,4,100000,30000,100000,,10,RealNVPN,--,-5,128-128-128,339240,0,256,relu,,0.0,NVIDIA A40,1000
43,0,1,0,0,8,100000,30000,100000,,10,RealNVPN,--,-5,128-128-128,346960,0,256,relu,,0.0,NVIDIA A40,1000
50,377,378,0,0,8,100000,30000,100000,,5,RealNVPN,--,-5,256-256-256,674600,0,256,relu,,0.0,NVIDIA A40,1000
57,520,521,0,0,8,100000,30000,100000,,5,RealNVPN,--,-5,128-128-128,173480,0,256,relu,,0.0,NVIDIA A40,1000
66,721,722,0,0,8,100000,30000,100000,,5,RealNVPN,--,-5,256-256-256,674600,0,256,relu,,0.0,NVIDIA A40,1000
71,869,870,0,0,8,100000,30000,100000,,10,RealNVPN,--,-5,128-128-128,346960,0,256,relu,,0.0,NVIDIA A40,1000
86,187,188,0,0,16,100000,30000,100000,,5,RealNVPN,--,-5,256-256-256,690000,0,256,relu,,0.0,NVIDIA A40,1000
89,377,378,0,0,16,100000,30000,100000,,5,RealNVPN,--,-5,128-128-128,181200,0,256,relu,,0.0,NVIDIA A40,1000
98,520,521,0,0,16,100000,30000,100000,,5,RealNVPN,--,-5,256-256-256,690000,0,256,relu,,0.0,NVIDIA A40,1000
102,541,542,0,0,16,100000,30000,100000,,5,RealNVPN,--,-5,256-256-256,690000,0,256,relu,,0.0,NVIDIA A40,1000
105,721,722,0,0,16,100000,30000,100000,,5,RealNVPN,--,-5,128-128-128,181200,0,256,relu,,0.0,NVIDIA A40,1000
114,926,927,0,0,16,100000,30000,100000,,5,RealNVPN,--,-5,256-256-256,690000,0,256,relu,,0.0,NVIDIA A40,1000
120,933,934,0,0,16,100000,30000,100000,,10,RealNVPN,--,-5,256-256-256,1380000,0,256,relu,,0.0,NVIDIA A40,1000
126,187,188,0,0,32,100000,30000,100000,,5,RealNVPN,--,-5,256-256-256,720800,0,256,relu,,0.0,NVIDIA A40,1000
129,377,378,0,0,32,100000,30000,100000,,5,RealNVPN,--,-5,128-128-128,196640,0,256,relu,,0.0,NVIDIA A40,1000
136,440,441,0,0,32,100000,30000,100000,,10,RealNVPN,--,-5,256-256-256,1441600,0,256,relu,,0.0,NVIDIA A40,1000
139,520,521,0,0,32,100000,30000,100000,,10,RealNVPN,--,-5,128-128-128,393280,0,256,relu,,0.0,NVIDIA A40,1000
163,0,1,0,0,64,100000,30000,100000,,10,RealNVPN,--,-5,128-128-128,455040,0,256,relu,,0.0,NVIDIA A40,1000
177,520,521,0,0,64,100000,30000,100000,,5,RealNVPN,--,-5,128-128-128,227520,0,256,relu,,0.0,NVIDIA A40,1000
183,541,542,0,0,64,100000,30000,100000,,10,RealNVPN,--,-5,128-128-128,455040,0,256,relu,,0.0,NVIDIA A40,1000
194,926,927,0,0,64,100000,30000,100000,,5,RealNVPN,--,-5,256-256-256,782400,0,256,relu,,0.0,NVIDIA A40,1000
197,933,934,0,0,64,100000,30000,100000,,5,RealNVPN,--,-5,128-128-128,227520,0,256,relu,,0.0,NVIDIA A40,1000
203,0,1,0,0,100,100000,30000,100000,,10,RealNVPN,--,-5,128-128-128,524520,0,256,relu,,0.0,NVIDIA A40,1000
