run_n,seed_train,seed_test,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,ks_mean,ks_std,ad_mean,ad_std,wd_mean,wd_std,swd_mean,swd_std,fn_mean,fn_std,hidden_layers,batch_size,epochs_input,epochs_output,training_time,prediction_time,total_time,training_device
19,377,378,4,100000,None,5,CsplineN,relu,12,-16,0,None,0.2289525128996546,0.2334277619265298,0.1337152925917966,0.0996327500477103,0.0357575822486818,0.0167534140862913,0.0354300333555582,0.0186727950008388,0.0312691342191636,0.0130501043212358,128-128-128,512,1000,259,9432.838526229025,5.885989923961461,9508.911642991006,NVIDIA A40
20,377,378,4,100000,None,5,CsplineN,relu,12,-16,0,None,0.2488669673850179,0.2618040650866429,0.1379522927838916,0.1070207156284137,0.0390547928646781,0.0195430215138373,0.0394243261806937,0.0203402047837606,0.0616229657057463,0.0268793605711271,256-256-256,512,1000,214,7158.941940182995,6.000087460037321,7236.552030342049,NVIDIA A40
21,377,378,4,100000,None,10,CsplineN,relu,8,-16,0,None,0.5052207706693406,0.2777073516687763,0.229545960578098,0.0559994585673875,0.0238924124156047,0.0084927350617703,0.0238271695627368,0.0106188978520445,0.0340673512591715,0.0095582427304029,128-128-128,512,1000,230,12050.90878033801,5.683006697974633,12241.872228732973,NVIDIA A40
22,377,378,4,100000,None,10,CsplineN,relu,8,-16,0,None,0.2770624348936983,0.2609167620352534,0.1540739643694245,0.1009794623451075,0.0319271397915023,0.009908881077921,0.0319883780524026,0.0118149248277114,0.0308720271353618,0.0138767348266699,256-256-256,512,1000,300,16779.263932766975,5.976630228979047,16981.60684006801,NVIDIA A40
23,377,378,4,100000,None,10,CsplineN,relu,12,-16,0,None,0.2143815372661837,0.2721811270767337,0.1091886045948255,0.1088440415233311,0.0314509269570685,0.0139633345400965,0.0315584808171507,0.0151833404315293,0.0361789395640184,0.0167204716730112,128-128-128,512,1000,244,16288.840341847972,4.677990164025687,16505.884176377964,NVIDIA A40
24,377,378,4,100000,None,10,CsplineN,relu,12,-16,0,None,0.4143272932803433,0.3441495474015032,0.1754804477339329,0.1029728736497811,0.0319759517241729,0.0192651300459553,0.0347412581733921,0.017190259649582,0.0332913488604047,0.0126177320299897,256-256-256,512,1000,244,15670.00324785005,4.669671037001535,15873.757032961004,NVIDIA A40
25,440,441,4,100000,None,5,CsplineN,relu,8,-16,0,None,0.3197089805111444,0.2864719891439258,0.1523409582483669,0.0948075092298315,0.0309720117057811,0.0132255158079577,0.0301199931630404,0.015251916053133,0.030021736033662,0.0065593782523479,128-128-128,512,1000,256,7848.271924448025,5.418949223007076,7914.959482672042,NVIDIA A40
26,440,441,4,100000,None,5,CsplineN,relu,8,-16,0,None,0.3570197329879337,0.2759248851423583,0.1838527783387629,0.0838145678015345,0.0305765251750321,0.0116474487835178,0.0303579922943911,0.0143809499947051,0.0286560338808712,0.0096260218690392,256-256-256,512,1000,341,10130.603914003004,5.68798341404181,10191.130428216013,NVIDIA A40
27,440,441,4,100000,None,5,CsplineN,relu,12,-16,0,None,0.326557485968622,0.2744099899132927,0.1806831080399549,0.0871331950609117,0.0308447731234687,0.0131454060797653,0.0315237294822775,0.0155946759441878,0.0498588716935193,0.0192593684300003,128-128-128,512,1000,295,9783.60796897998,5.457165302999783,9853.813847094018,NVIDIA A40
28,440,441,4,100000,None,5,CsplineN,relu,12,-16,0,None,0.4180357288603401,0.2570033355323877,0.2180312042673117,0.0603710085987985,0.0271813439871911,0.0106446741691752,0.0259425440832809,0.0129709966204554,0.02743457254024,0.0133157783935741,256-256-256,512,1000,348,12207.265649106004,5.219773560005706,12287.317714525036,NVIDIA A40
29,440,441,4,100000,None,10,CsplineN,relu,8,-16,0,None,0.2036960219010971,0.2730259685117119,0.115966254150472,0.1016859280682836,0.033707201809184,0.0146302911230716,0.032635000127486,0.0167207956959466,0.0296604876607217,0.0181442663056972,128-128-128,512,1000,306,16439.43107282999,4.7222197970259,16623.20731728198,NVIDIA A40
30,440,441,4,100000,None,10,CsplineN,relu,8,-16,0,None,0.3846393892228826,0.3117331923249117,0.1697839965936272,0.0952302108193554,0.0307902624802183,0.0141557894863211,0.0321713072085942,0.0157023736057393,0.0439754916528807,0.018334957751499,256-256-256,512,1000,279,15067.657169844955,5.380100714974105,15250.549513887032,NVIDIA A40
31,440,441,4,100000,None,10,CsplineN,relu,12,-16,0,None,0.4222517726445901,0.2362584346087983,0.2072831950222954,0.0792939224529193,0.0274604545473861,0.0122675891502399,0.0265074395302007,0.015316588925428,0.023292284564207,0.0142929308565958,128-128-128,512,1000,241,16401.68569412292,5.997225197032094,16610.209482731065,NVIDIA A40
32,440,441,4,100000,None,10,CsplineN,relu,12,-16,0,None,0.2408427609713578,0.2746694658922008,0.1218547973652224,0.1046803949031329,0.0392426197509724,0.0179408946353476,0.0410092990736446,0.0207703464845913,0.0346929287744069,0.0172945438313968,256-256-256,512,1000,198,13988.195633922003,5.434405545936897,14206.220870691002,NVIDIA A40
33,520,521,4,100000,None,5,CsplineN,relu,8,-16,0,None,0.4508534075707923,0.2682799508933966,0.2037728596159019,0.0778987111637664,0.0259897196737745,0.0082162574905331,0.0248031648691852,0.0087648149416116,0.0334657072243675,0.0105106183148095,128-128-128,512,1000,373,11319.172207759111,5.329567539971322,11389.234246166074,NVIDIA A40
34,520,521,4,100000,None,5,CsplineN,relu,8,-16,0,None,0.3798269004820576,0.2830373550096015,0.1995107262981575,0.0699032392461636,0.0289137267573763,0.0104060906535342,0.0279159934062144,0.0119809464295253,0.032048757172912,0.0130804382327647,256-256-256,512,1000,377,11709.459403111015,4.742673447006382,11778.103773058974,NVIDIA A40
35,520,521,4,100000,None,5,CsplineN,relu,12,-16,0,None,0.3024767517403636,0.2527361485584581,0.169449393361256,0.0890309569817082,0.0279427990965313,0.0083754738824837,0.027853002983146,0.0108352549390531,0.0314083717197324,0.0106891407613762,128-128-128,512,1000,289,10340.442983646062,4.716525181080215,10413.859786876012,NVIDIA A40
36,520,521,4,100000,None,5,CsplineN,relu,12,-16,0,None,0.497130176801131,0.2651639415934995,0.2283362819283232,0.051378187919479,0.0241390207526167,0.0081694113006039,0.0238136982133317,0.010018353784352,0.0250925115736759,0.0129708669686556,256-256-256,512,1000,260,9462.833497582937,5.694472908973694,9540.480809111965,NVIDIA A40
37,520,521,4,100000,None,10,CsplineN,relu,8,-16,0,None,0.5043762799250902,0.2616557653622953,0.2144031566391179,0.067959431134301,0.0240128300101322,0.0084152706530103,0.024407038186914,0.0098528223816265,0.0248337543759368,0.0125126735971598,128-128-128,512,1000,260,15342.669339374988,5.699889853014611,15526.70240598009,NVIDIA A40
38,520,521,4,100000,None,10,CsplineN,relu,8,-16,0,None,0.3738618926845375,0.3002626110078276,0.1830054456578855,0.0916026122614856,0.0281349790997876,0.0102497050354928,0.0278858851107538,0.0110958052524061,0.0481389789189843,0.0185704950124847,256-256-256,512,1000,303,17347.442122310982,4.812756621045992,17528.356940570986,NVIDIA A40
