ndims,nbijectors,bijector,nsamples,spline_knots,range_min,eps_regulariser,kl_divergence,ks_test_mean,ks_test_median,ad_test_mean,ad_test_median,Wasserstein_median,Wasserstein_mean,frob_norm,hidden_layers,batch_size,time
16,2,MsplineN,100000,8,-5,1e-10,-1,0.4343958715172557,0.46972610564605616,0.20036669112136335,0.19085644992354103,0.028951718081862185,0.028951718081862185,0.05813460190855574,128-128-128,512,178.326715285
16,2,MsplineN,100000,8,-5,1e-10,-1,0.42343897609031805,0.4574921615068417,0.20680162633113192,0.19281621192653578,0.028698246814608572,0.028698246814608572,0.05786581044760635,128-128-128,512,178.326715285
16,2,MsplineN,100000,8,-5,1e-10,-1,0.4392427151237706,0.4657891260506515,0.2086356032439924,0.1932122917102955,0.03387767422549427,0.03387767422549427,0.06454709060406259,254-254-254,512,308.1766510299999
16,2,MsplineN,100000,8,-5,1e-10,-1,0.4316332696662331,0.45454684783545696,0.2070209466326821,0.19345178181493797,0.03290596402853728,0.03290596402853728,0.06905245523006005,254-254-254,512,308.1766510299999
16,2,MsplineN,50000,8,-5,1e-10,-1,0.44733757267763347,0.4623612000229961,0.2047412894010347,0.20213423367831349,0.025171319017559295,0.025171319017559295,0.07361771788313977,128-128-128,512,91.72271014600005
16,2,MsplineN,50000,8,-5,1e-10,-1,0.44475856343738474,0.4443777085226682,0.20265648218490462,0.20167106987613995,0.02229752996951341,0.02229752996951341,0.075877879085982,128-128-128,512,91.72271014600005
16,2,MsplineN,50000,8,-5,1e-10,-1,0.37153438113382264,0.4273884432938632,0.1838099068877307,0.16589039613051362,0.03874777800740056,0.03874777800740056,0.07189946640114431,254-254-254,512,80.0111789739999
16,2,MsplineN,50000,8,-5,1e-10,-1,0.36013603093831636,0.39981610785623345,0.18600627097701877,0.1691224306411993,0.03520927982905263,0.03520927982905263,0.08255052330366061,254-254-254,512,80.0111789739999
16,2,MsplineN,100000,4,-5,1e-10,-1,0.38797185611907176,0.4371669306008057,0.19839435512002057,0.17731354624085574,0.03231697976699098,0.03231697976699098,0.054718929634346755,128-128-128,512,101.10348429900023
16,2,MsplineN,100000,4,-5,1e-10,-1,0.3758090522435335,0.43663582185251504,0.1909287550235928,0.17194626339971772,0.03148812309861184,0.03148812309861184,0.05898101801662366,128-128-128,512,101.10348429900023
16,2,MsplineN,100000,4,-5,1e-10,-1,0.38380575551718527,0.39446915254253156,0.18978172875708796,0.18033679455458268,0.03868031446222217,0.03868031446222217,0.07329112529860327,254-254-254,512,204.75581390700017
16,2,MsplineN,100000,4,-5,1e-10,-1,0.39608791809164956,0.40928347736367,0.18707035312869535,0.1786837012999353,0.03698121151745319,0.03698121151745319,0.06787827763313622,254-254-254,512,204.75581390700017
16,2,MsplineN,50000,4,-5,1e-10,-1,0.339592888493077,0.34851558175121283,0.1879879247509339,0.16582509295662065,0.04171245264602127,0.04171245264602127,0.07459712689384176,128-128-128,512,70.328352257
16,2,MsplineN,50000,4,-5,1e-10,-1,0.3395299105131361,0.3597087577614525,0.18400696803040378,0.16414987930312264,0.04451052462160583,0.04451052462160583,0.08009062419945756,128-128-128,512,70.328352257
16,2,MsplineN,50000,4,-5,1e-10,-1,0.3735559359175314,0.4180672255613953,0.2013130212888967,0.173984826872842,0.027216026151957902,0.027216026151957902,0.07877161226036677,254-254-254,512,97.25453843899959
16,2,MsplineN,50000,4,-5,1e-10,-1,0.3708660947563288,0.424048909145311,0.19829339032455212,0.1707006227395875,0.02578789586514232,0.02578789586514232,0.07726758336823263,254-254-254,512,97.25453843899959
16,2,MsplineN,100000,8,-5,1e-05,-1,0.4333944488394703,0.43913162843412046,0.20443124748260041,0.19383365573112102,0.03137767665244639,0.03137767665244639,0.07326886162651261,128-128-128,512,222.19077792499957
16,2,MsplineN,100000,8,-5,1e-05,-1,0.42459168530756125,0.4393914395153737,0.20453838749979852,0.19328762229105997,0.0303562477213245,0.0303562477213245,0.07490906862054715,128-128-128,512,222.19077792499957
16,2,MsplineN,100000,8,-5,1e-05,-1,0.4045384665417123,0.40399114805495995,0.18759862188866527,0.18387209961237366,0.03272746533960103,0.03272746533960103,0.07029062685417899,254-254-254,512,199.90523719400062
