run_n,run_seed,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,kl_divergence,ks_test_mean,ks_test_median,ad_test_mean,ad_test_median,Wasserstein_median,Wasserstein_mean,frob_norm,hidden_layers,batch_size,epochs_input,epochs_output,time
1,0,4,100000,corr,5,RealNVPN,relu,8,-5,0,None,-1,0.42554940726970036,0.41325635683010925,0.21155645744840287,0.2092902907251334,0.05543281855629528,0.05543281855629528,0.028148905775792342,128-128-128,256,1000,453,2502.2144724139944
2,0,8,100000,corr,5,RealNVPN,relu,8,-5,0,None,-1,0.44338444999648297,0.48683840217976937,0.216087483273825,0.21196698943465755,0.046684963809640496,0.046684963809640496,0.03825092222415469,128-128-128,256,1000,288,1625.6716337716207
3,0,16,100000,corr,10,RealNVPN,relu,8,-5,0,None,-1,0.4342431916586084,0.44658112833601427,0.2020186819007138,0.1983398860911504,0.04993315749912294,0.04993315749912294,0.13136179792244781,128-128-128,256,1000,205,2154.553240216337
4,0,32,100000,corr,5,RealNVPN,relu,8,-5,0,None,-1,0.34279887993592134,0.33995428812495243,0.18166915635352895,0.1791619739552391,0.07899875778088236,0.07899875778088236,0.505633989823073,128-128-128,256,1000,272,1473.1345145776868
5,0,64,100000,corr,5,RealNVPN,relu,8,-5,0,None,-1,0.4137121443634217,0.43783669121352686,0.2060234584817607,0.1999891316180348,0.05125976453008372,0.05125976453008372,0.7160281657092754,128-128-128,256,1000,369,2070.7209036536515
6,0,100,100000,corr,5,RealNVPN,relu,8,-5,0,None,-1,0.12802386527962406,0.09602563192388827,0.08376435239057448,0.08987188778901492,0.20766624808200151,0.20766624808200151,4.836723867031897,128-128-128,256,1000,383,1990.3149484517053
7,0,200,100000,corr,10,RealNVPN,relu,8,-5,0,None,-1,0.18758939659739501,0.16911383387156687,0.12135693233347641,0.12026030670177165,0.15385052523714376,0.15385052523714376,6.322726438657377,256-256-256,256,1000,221,2351.8861278975382
8,0,400,100000,corr,10,RealNVPN,relu,8,-5,0,None,-1,0.13046973958327318,0.1036590947817755,0.08311543429294524,0.0895072694093518,0.1966455862021338,0.1966455862021338,14.599179963121268,256-256-256,256,1000,152,1640.7064454341307
