run_n,run_seed,ndims,nsamples,correlation,nbijectors,bijector,spline_knots,range_min,hidden_layers,batch_size,activation,eps_regulariser,regulariser,dist_seed,test_seed
1,0.0,64,100000,corr,5,CsplineN,12,-16,128-128-128,512,relu,0,,0,0
2,187.0,64,100000,corr,5,CsplineN,12,-16,128-128-128,512,relu,0,,0,0
2,,64,100000,corr,5,CsplineN,12,-16,128-128-128,512,relu,0,,0,0
2,,64,100000,corr,5,CsplineN,12,-16,128-128-128,512,relu,0,,0,0
2,,64,100000,corr,5,CsplineN,12,-16,128-128-128,512,relu,0,,0,0
2,,64,100000,corr,5,CsplineN,12,-16,128-128-128,512,relu,0,,0,0
2,,64,100000,corr,5,CsplineN,12,-16,128-128-128,512,relu,0,,0,0
2,,64,100000,corr,5,CsplineN,12,-16,128-128-128,512,relu,0,,0,0
2,,64,100000,corr,5,CsplineN,12,-16,128-128-128,512,relu,0,,0,0
2,,64,100000,corr,5,CsplineN,12,-16,128-128-128,512,relu,0,,0,0
2,,64,100000,corr,5,CsplineN,12,-16,128-128-128,512,relu,0,,0,0
2,,64,100000,corr,5,CsplineN,12,-16,128-128-128,512,relu,0,,0,0
2,,64,100000,corr,5,CsplineN,12,-16,128-128-128,512,relu,0,,0,0
2,,64,100000,corr,5,CsplineN,12,-16,128-128-128,512,relu,0,,0,0
2,,64,100000,corr,5,CsplineN,12,-16,128-128-128,512,relu,0,,0,0
2,,64,100000,corr,5,CsplineN,12,-16,128-128-128,512,relu,0,,0,0
2,,64,100000,corr,5,CsplineN,12,-16,128-128-128,512,relu,0,,0,0
2,,64,100000,corr,5,CsplineN,12,-16,128-128-128,512,relu,0,,0,0
3,377.0,64,100000,corr,5,CsplineN,12,-16,128-128-128,512,relu,0,,0,0
3,,64,100000,corr,5,CsplineN,12,-16,128-128-128,512,relu,0,,0,0
3,,64,100000,corr,5,CsplineN,12,-16,128-128-128,512,relu,0,,0,0
4,440.0,64,100000,corr,5,CsplineN,12,-16,128-128-128,512,relu,0,,0,0
4,,64,100000,corr,5,CsplineN,12,-16,128-128-128,512,relu,0,,0,0
4,,64,100000,corr,5,CsplineN,12,-16,128-128-128,512,relu,0,,0,0
4,,64,100000,corr,5,CsplineN,12,-16,128-128-128,512,relu,0,,0,0
4,,64,100000,corr,5,CsplineN,12,-16,128-128-128,512,relu,0,,0,0
5,520.0,64,100000,corr,5,CsplineN,12,-16,128-128-128,512,relu,0,,0,0
5,,64,100000,corr,5,CsplineN,12,-16,128-128-128,512,relu,0,,0,0
6,541.0,64,100000,corr,5,CsplineN,12,-16,128-128-128,512,relu,0,,0,0
6,,64,100000,corr,5,CsplineN,12,-16,128-128-128,512,relu,0,,0,0
6,,64,100000,corr,5,CsplineN,12,-16,128-128-128,512,relu,0,,0,0
6,,64,100000,corr,5,CsplineN,12,-16,128-128-128,512,relu,0,,0,0
6,,64,100000,corr,5,CsplineN,12,-16,128-128-128,512,relu,0,,0,0
6,,64,100000,corr,5,CsplineN,12,-16,128-128-128,512,relu,0,,0,0
6,,64,100000,corr,5,CsplineN,12,-16,128-128-128,512,relu,0,,0,0
6,,64,100000,corr,5,CsplineN,12,-16,128-128-128,512,relu,0,,0,0
6,,64,100000,corr,5,CsplineN,12,-16,128-128-128,512,relu,0,,0,0
7,721.0,64,100000,corr,5,CsplineN,12,-16,128-128-128,512,relu,0,,0,0
7,,64,100000,corr,5,CsplineN,12,-16,128-128-128,512,relu,0,,0,0
7,,64,100000,corr,5,CsplineN,12,-16,128-128-128,512,relu,0,,0,0
7,,64,100000,corr,5,CsplineN,12,-16,128-128-128,512,relu,0,,0,0
7,,64,100000,corr,5,CsplineN,12,-16,128-128-128,512,relu,0,,0,0
7,,64,100000,corr,5,CsplineN,12,-16,128-128-128,512,relu,0,,0,0
7,,64,100000,corr,5,CsplineN,12,-16,128-128-128,512,relu,0,,0,0
7,,64,100000,corr,5,CsplineN,12,-16,128-128-128,512,relu,0,,0,0
7,,64,100000,corr,5,CsplineN,12,-16,128-128-128,512,relu,0,,0,0
7,,64,100000,corr,5,CsplineN,12,-16,128-128-128,512,relu,0,,0,0
7,,64,100000,corr,5,CsplineN,12,-16,128-128-128,512,relu,0,,0,0
7,,64,100000,corr,5,CsplineN,12,-16,128-128-128,512,relu,0,,0,0
7,,64,100000,corr,5,CsplineN,12,-16,128-128-128,512,relu,0,,0,0
7,,64,100000,corr,5,CsplineN,12,-16,128-128-128,512,relu,0,,0,0
7,,64,100000,corr,5,CsplineN,12,-16,128-128-128,512,relu,0,,0,0
8,869.0,64,100000,corr,5,CsplineN,12,-16,128-128-128,512,relu,0,,0,0
8,,64,100000,corr,5,CsplineN,12,-16,128-128-128,512,relu,0,,0,0
8,,64,100000,corr,5,CsplineN,12,-16,128-128-128,512,relu,0,,0,0
8,,64,100000,corr,5,CsplineN,12,-16,128-128-128,512,relu,0,,0,0
8,,64,100000,corr,5,CsplineN,12,-16,128-128-128,512,relu,0,,0,0
9,926.0,64,100000,corr,5,CsplineN,12,-16,128-128-128,512,relu,0,,0,0
9,,64,100000,corr,5,CsplineN,12,-16,128-128-128,512,relu,0,,0,0
9,,64,100000,corr,5,CsplineN,12,-16,128-128-128,512,relu,0,,0,0
9,,64,100000,corr,5,CsplineN,12,-16,128-128-128,512,relu,0,,0,0
9,,64,100000,corr,5,CsplineN,12,-16,128-128-128,512,relu,0,,0,0
