run_n,run_seed,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,kl_divergence,ks_test_mean,ks_test_median,ad_test_mean,ad_test_median,Wasserstein_median,Wasserstein_mean,frob_norm,hidden_layers,batch_size,epochs_input,epochs_output,time
27,0,200,100000,corr,10,MAFN,relu,8,-5,0,None,-1,0.0102406859437934,2.945579283300334e-11,0.001,0.0060993764245986,0.5371811030316823,0.5371811030316823,2.0636743367319985,128-128-128,512,1000,157,787.1563866734505
28,0,200,100000,corr,10,MAFN,relu,8,-5,0,None,-1,0.0093178811338768,4.242407907740908e-11,0.001,0.0052615305869898,0.5775042762332925,0.5775042762332925,2.786103659340073,256-256-256,512,1000,131,657.8761387467384
29,0,400,100000,corr,5,MAFN,relu,8,-5,0,None,-1,0.0155432427227205,5.600498610431541e-13,0.001,0.0082993710104342,0.6132275897693025,0.6132275897693025,4.104507507271212,128-128-128,512,1000,220,581.0358463600278
30,0,400,100000,corr,5,MAFN,relu,8,-5,0,None,-1,0.0133121862737297,9.163001301587724e-15,0.001,0.0073421998997941,0.6577036798390579,0.6577036798390579,4.776153994002519,256-256-256,512,1000,115,319.74285738915205
31,0,400,100000,corr,10,MAFN,relu,8,-5,0,None,-1,0.0142226551522713,9.024065695696972e-13,0.001,0.0075663263472425,0.5917425574954122,0.5917425574954122,8.852563751614106,128-128-128,512,1000,135,689.7203073706478
32,0,400,100000,corr,10,MAFN,relu,8,-5,0,None,-1,0.0092688640626662,7.934130895821548e-14,0.001,0.0053966758392809,0.6876296755981233,0.6876296755981233,61.85180628836096,256-256-256,512,1000,98,491.3969209138304
33,0,1000,100000,corr,5,MAFN,relu,8,-5,0,None,-1,0.0094585944374927,2.798182681147053e-15,0.001,0.0052761838964077,0.6413555347005394,0.6413555347005394,13.878619234946152,128-128-128,512,1000,134,399.41545172408223
34,0,1000,100000,corr,5,MAFN,relu,8,-5,0,None,-1,0.0073254310270261,1.3060258368551638e-15,0.001,0.0044085548932277,0.694123554694759,0.694123554694759,145.0333725995212,256-256-256,512,1000,79,254.55348896235228
35,0,1000,100000,corr,10,MAFN,relu,8,-5,0,None,-1,0.0088757190891114,5.5194374553466966e-15,0.001,0.0050977814328767,0.6534029667402115,0.6534029667402115,36.71208506699572,128-128-128,512,1000,104,577.9494861084968
36,0,1000,100000,corr,10,MAFN,relu,8,-5,0,None,-1,0.0074282455494811,5.407788667564655e-16,0.001,0.0044690379301662,0.6688902349715325,0.6688902349715325,85.30550467193605,256-256-256,512,1000,72,428.3240503966808
