run_n,seed_train,seed_test,ndims,nsamples,correlation,nbijectors,bijector,spline_knots,range_min,hidden_layers,batch_size,activation,eps_regulariser,regulariser,dist_seed,test_seed,training_device
1,0,1,4,100000,,2,MsplineN,8,-16,128-128-128,512,relu,0,,0,1,NVIDIA A40
2,0,1,4,100000,,2,MsplineN,8,-16,256-256-256,512,relu,0,,0,1,NVIDIA A40
3,0,1,4,100000,,2,MsplineN,12,-16,128-128-128,512,relu,0,,0,1,NVIDIA A40
4,0,1,4,100000,,2,MsplineN,12,-16,256-256-256,512,relu,0,,0,1,NVIDIA A40
5,0,1,8,100000,,2,MsplineN,8,-16,128-128-128,512,relu,0,,0,1,NVIDIA A40
6,0,1,8,100000,,2,MsplineN,8,-16,256-256-256,512,relu,0,,0,1,NVIDIA A40
7,0,1,8,100000,,2,MsplineN,12,-16,128-128-128,512,relu,0,,0,1,NVIDIA A40
8,0,1,8,100000,,2,MsplineN,12,-16,256-256-256,512,relu,0,,0,1,NVIDIA A40
9,0,1,16,100000,,2,MsplineN,8,-16,128-128-128,512,relu,0,,0,1,NVIDIA A40
10,0,1,16,100000,,2,MsplineN,8,-16,256-256-256,512,relu,0,,0,1,NVIDIA A40
11,0,1,16,100000,,2,MsplineN,12,-16,128-128-128,512,relu,0,,0,1,NVIDIA A40
12,0,1,16,100000,,2,MsplineN,12,-16,256-256-256,512,relu,0,,0,1,NVIDIA A40
13,0,1,32,100000,,2,MsplineN,8,-16,128-128-128,512,relu,0,,0,1,NVIDIA A40
14,0,1,32,100000,,2,MsplineN,8,-16,256-256-256,512,relu,0,,0,1,NVIDIA A40
15,0,1,32,100000,,2,MsplineN,12,-16,128-128-128,512,relu,0,,0,1,NVIDIA A40
16,0,1,32,100000,,2,MsplineN,12,-16,256-256-256,512,relu,0,,0,1,NVIDIA A40
17,0,1,64,100000,,2,MsplineN,8,-16,128-128-128,512,relu,0,,0,1,NVIDIA A40
18,0,1,64,100000,,2,MsplineN,8,-16,256-256-256,512,relu,0,,0,1,NVIDIA A40
19,0,1,64,100000,,2,MsplineN,12,-16,128-128-128,512,relu,0,,0,1,NVIDIA A40
20,0,1,64,100000,,2,MsplineN,12,-16,256-256-256,512,relu,0,,0,1,NVIDIA A40
21,0,1,100,100000,,2,MsplineN,8,-16,128-128-128,512,relu,0,,0,1,NVIDIA A40
22,0,1,100,100000,,2,MsplineN,8,-16,256-256-256,512,relu,0,,0,1,NVIDIA A40
