run_n,seed_train,seed_test,seed_dist,seed_metrics,ndims,nsamples_train,nsamples_val,nsamples_test,correlation,nbijectors,bijector,spline_knots,range_min,hidden_layers,trainable_parameters,non_trainable_parameters,batch_size,activation,regulariser,eps_regulariser,training_device,epochs_input
1,0,1,0,0,4,100000,30000,100000,,2,MsplineN,8,-16,128-128-128,91064,0,512,relu,,0.0,NVIDIA A40,1000
13,440,441,0,0,4,100000,30000,100000,,2,MsplineN,8,-16,128-128-128,91064,0,512,relu,,0.0,NVIDIA A40,1000
24,541,542,0,0,4,100000,30000,100000,,2,MsplineN,12,-16,256-256-256,337688,0,512,relu,,0.0,NVIDIA A40,1000
28,721,722,0,0,4,100000,30000,100000,,2,MsplineN,12,-16,256-256-256,337688,0,512,relu,,0.0,NVIDIA A40,1000
33,926,927,0,0,4,100000,30000,100000,,2,MsplineN,8,-16,128-128-128,91064,0,512,relu,,0.0,NVIDIA A40,1000
41,0,1,0,0,8,100000,30000,100000,,2,MsplineN,8,-16,128-128-128,115824,0,512,relu,,0.0,NVIDIA A40,1000
52,377,378,0,0,8,100000,30000,100000,,2,MsplineN,12,-16,256-256-256,411696,0,512,relu,,0.0,NVIDIA A40,1000
59,520,521,0,0,8,100000,30000,100000,,2,MsplineN,12,-16,128-128-128,140592,0,512,relu,,0.0,NVIDIA A40,1000
66,721,722,0,0,8,100000,30000,100000,,2,MsplineN,8,-16,256-256-256,362352,0,512,relu,,0.0,NVIDIA A40,1000
73,926,927,0,0,8,100000,30000,100000,,2,MsplineN,8,-16,128-128-128,115824,0,512,relu,,0.0,NVIDIA A40,1000
75,926,927,0,0,8,100000,30000,100000,,2,MsplineN,12,-16,128-128-128,140592,0,512,relu,,0.0,NVIDIA A40,1000
86,187,188,0,0,16,100000,30000,100000,,2,MsplineN,8,-16,256-256-256,461024,0,512,relu,,0.0,NVIDIA A40,1000
91,377,378,0,0,16,100000,30000,100000,,2,MsplineN,12,-16,128-128-128,214880,0,512,relu,,0.0,NVIDIA A40,1000
104,541,542,0,0,16,100000,30000,100000,,2,MsplineN,12,-16,256-256-256,559712,0,512,relu,,0.0,NVIDIA A40,1000
108,721,722,0,0,16,100000,30000,100000,,2,MsplineN,12,-16,256-256-256,559712,0,512,relu,,0.0,NVIDIA A40,1000
113,926,927,0,0,16,100000,30000,100000,,2,MsplineN,8,-16,128-128-128,165344,0,512,relu,,0.0,NVIDIA A40,1000
125,187,188,0,0,32,100000,30000,100000,,2,MsplineN,8,-16,128-128-128,264384,0,512,relu,,0.0,NVIDIA A40,1000
132,377,378,0,0,32,100000,30000,100000,,2,MsplineN,12,-16,256-256-256,855744,0,512,relu,,0.0,NVIDIA A40,1000
141,541,542,0,0,32,100000,30000,100000,,2,MsplineN,8,-16,128-128-128,264384,0,512,relu,,0.0,NVIDIA A40,1000
152,869,870,0,0,32,100000,30000,100000,,2,MsplineN,12,-16,256-256-256,855744,0,512,relu,,0.0,NVIDIA A40,1000
157,933,934,0,0,32,100000,30000,100000,,2,MsplineN,8,-16,128-128-128,264384,0,512,relu,,0.0,NVIDIA A40,1000
165,187,188,0,0,64,100000,30000,100000,,2,MsplineN,8,-16,128-128-128,462464,0,512,relu,,0.0,NVIDIA A40,1000
173,440,441,0,0,64,100000,30000,100000,,2,MsplineN,8,-16,128-128-128,462464,0,512,relu,,0.0,NVIDIA A40,1000
180,520,521,0,0,64,100000,30000,100000,,2,MsplineN,12,-16,256-256-256,1447808,0,512,relu,,0.0,NVIDIA A40,1000
187,721,722,0,0,64,100000,30000,100000,,2,MsplineN,12,-16,128-128-128,660608,0,512,relu,,0.0,NVIDIA A40,1000
194,926,927,0,0,64,100000,30000,100000,,2,MsplineN,8,-16,256-256-256,1053056,0,512,relu,,0.0,NVIDIA A40,1000
