run_n,run_seed,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,ks_mean,ks_std,ad_mean,ad_std,wd_mean,wd_std,swd_mean,swd_std,fn_mean,fn_std,hidden_layers,batch_size,epochs_input,epochs_output,time
1,0,64,100000,corr,5,CsplineN,relu,12,-16,0,None,0.0368269388850487,0.1134479517718602,0.0265822111628512,0.0627104014651013,0.0817490609429576,0.0397337208164576,0.079584995860305,0.0445874626600921,1.3046674901021107,0.1345630423300055,128-128-128,512,1000,239,6805.153679851908
2,None,64,100000,corr,5,CsplineN,relu,12,-16,0,None,0.254494732364674,0.2560725956408295,0.1409059470753959,0.1024792055798246,0.0421514329048964,0.0221422312642402,0.0412916620070728,0.0231902041372333,0.6825679266567927,0.0680761737117972,128-128-128,512,1000,390,10694.215242467935
3,None,64,100000,corr,5,CsplineN,relu,12,-16,0,None,8.942177122983586e-06,0.0001429421075433,0.001,2.1684043449710093e-19,0.3525100843894768,0.2319897616987717,0.3819037982811978,0.1522313920790476,10.049617163973789,0.0486125348707233,128-128-128,512,1000,27,814.5424528419971
4,None,64,100000,corr,5,CsplineN,relu,12,-16,0,None,0.2243027397045119,0.2565347107728452,0.128815718443929,0.1016124115875947,0.0458606232570916,0.0296116145228279,0.0455645459393315,0.0320216648080921,0.6180896282041646,0.1485522862868894,128-128-128,512,1000,346,9684.72047019296
5,None,64,100000,corr,5,CsplineN,relu,12,-16,0,None,0.1814169480338065,0.2364677365446629,0.102967655823521,0.1036743299898916,0.0550340115428904,0.04032004036591,0.0537928589978917,0.043848048656968,1.1127858419651528,0.1776003644301779,128-128-128,512,1000,342,9549.067182461964
6,None,64,100000,corr,5,CsplineN,relu,12,-16,0,None,0.1835050389193275,0.2089089343667797,0.1159039842577298,0.1009185676632524,0.0502051177329438,0.0267552459089371,0.0505988029948589,0.026930974636441,0.7969554239679779,0.0924022323201426,128-128-128,512,1000,278,7687.081825528992
7,None,64,100000,corr,5,CsplineN,relu,12,-16,0,None,0.1947857503207213,0.2450519333082997,0.1184078186600916,0.1017102627511204,0.0498756061250133,0.0310385827064392,0.0508361746268985,0.0307126783588433,0.7737883497838414,0.1224343489772504,128-128-128,512,1000,449,13778.460136395996
8,None,64,100000,corr,5,CsplineN,relu,12,-16,0,None,0.0285036752965088,0.1043122954058105,0.025073481566352,0.0593697835738471,0.108127928986525,0.0670687976712898,0.1065625049451695,0.0773666919033644,1.334583952072195,0.216340201154868,128-128-128,512,1000,298,8458.726695565972
