run_n,seed_train,seed_test,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,ks_mean,ks_std,ad_mean,ad_std,wd_mean,wd_std,swd_mean,swd_std,fn_mean,fn_std,hidden_layers,batch_size,epochs_input,epochs_output,training_time,prediction_time,total_time,training_device
18,520,521,4,100000,,5,RealNVPN,relu,8,-5,0,,0.14065711642383397,0.190282137733648,0.09167936906584136,0.10068051759754217,0.03427359975625108,0.01031705114957323,0.032611970351669566,0.011968425699866336,0.034766335616989705,0.014559864995051025,256-256-256,256,1000,229,1663.7293561499973,4.883499337011017,1678.1051983920042,NVIDIA A40
19,520,521,4,100000,,10,RealNVPN,relu,8,-5,0,,0.31628373903971896,0.28964081077539405,0.15834795007144248,0.10468037773935063,0.030234247350528088,0.01036438498536826,0.02846281842547672,0.01318923007172827,0.035415262036559564,0.02051583158494258,128-128-128,256,1000,267,3381.7865800420113,4.781810321001103,3403.5566847370064,NVIDIA A40
20,520,521,4,100000,,10,RealNVPN,relu,8,-5,0,,0.40381507614358564,0.2745384891439887,0.16064222291766334,0.09128757199166582,0.029162875961051334,0.011599480989309862,0.030228103496966422,0.010449895688065801,0.05800946134912664,0.02119932827272764,256-256-256,256,1000,282,3592.8735037620063,4.753889490006259,3613.9686910480086,NVIDIA A40
21,541,542,4,100000,,5,RealNVPN,relu,8,-5,0,,0.34371968640749184,0.21976624985152257,0.2071745353669518,0.07305661296290138,0.029489102852936412,0.009570442570129489,0.02869019844406301,0.01282320164009641,0.033482754136130354,0.01314149858791674,128-128-128,256,1000,489,3429.1572889389936,5.689487035997445,3444.739450856985,NVIDIA A40
22,541,542,4,100000,,5,RealNVPN,relu,8,-5,0,,0.31818648124050847,0.21698264105696968,0.17288707027436895,0.08997728727949304,0.030658818477097588,0.010063902533233656,0.03328014474260039,0.01448622947525072,0.03746369994316678,0.01936434778504701,256-256-256,256,1000,400,2763.9572683739825,4.754188046004856,2781.4578045769886,NVIDIA A40
23,541,542,4,100000,,10,RealNVPN,relu,8,-5,0,,0.13000631614075225,0.16123564305576824,0.09795735882279412,0.08840698572776429,0.03553340555800313,0.012200593309747126,0.034440471827835654,0.016086205702407656,0.040472025344003085,0.007777851185633721,128-128-128,256,1000,316,4129.175826530001,5.444655640982091,4152.651301501988,NVIDIA A40
24,541,542,4,100000,,10,RealNVPN,relu,8,-5,0,,0.2701118465503601,0.303761334431799,0.13985117258821927,0.11056454852062376,0.03028401365406628,0.013053577128647638,0.029322942167400008,0.014722486380178666,0.04430607875844458,0.01926844711759907,256-256-256,256,1000,338,4352.893451500015,6.087421231000917,4377.71589306902,NVIDIA A40
25,721,722,4,100000,,5,RealNVPN,relu,8,-5,0,,0.2579918390357897,0.24136164312510708,0.13673031818250939,0.09516293149118904,0.038744347103140175,0.014218803070683624,0.03756247113773134,0.018340821484804065,0.01568716103313445,0.004328452008279499,128-128-128,256,1000,420,3107.039838886005,4.899839180987328,3122.2933008389955,NVIDIA A40
26,721,722,4,100000,,5,RealNVPN,relu,8,-5,0,,0.31076256869212493,0.2705970100669636,0.1811615057289075,0.08368857920936296,0.031834398980343445,0.014065681209982233,0.03206033981996639,0.015193755886733051,0.016111985588573206,0.004506195300906341,256-256-256,256,1000,395,2769.1917158169963,5.7626909379905555,2785.251422022993,NVIDIA A40
27,721,722,4,100000,,10,RealNVPN,relu,8,-5,0,,0.2687705719524188,0.2958183025072518,0.14096834438979627,0.10009915369389527,0.034535908922981466,0.012703841423466162,0.035352046226291185,0.015123281088166607,0.018149696523312393,0.006403211733758496,128-128-128,256,1000,362,4657.867823211011,4.7748411859502085,4679.982963634015,NVIDIA A40
