run_n,run_seed,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,ks_mean,ks_std,ad_mean,ad_std,wd_mean,wd_std,swd_mean,swd_std,fn_mean,fn_std,hidden_layers,batch_size,epochs_input,epochs_output,time
1,0,100,100000,corr,5,RealNVPN,relu,8,-5,0,None,0.0994354298504951,0.1683877218152334,0.0652922266286071,0.0885842026261868,0.067067337463075,0.039062356882842,0.0649591976697779,0.0436721194471827,2.010710761522064,0.4364388140332483,128-128-128,256,1000,312,1811.7098098741844
2,187,100,100000,corr,5,RealNVPN,relu,8,-5,0,None,0.2271627967042231,0.2601911033779769,0.12260113064567,0.1058873020683112,0.0428962992335821,0.024541277478292,0.0421638506818903,0.0263306439931744,1.1627870869573875,0.3149473726937109,128-128-128,256,1000,416,2320.5688323909417
3,377,100,100000,corr,5,RealNVPN,relu,8,-5,0,None,0.1005057964152506,0.1889672882972888,0.0661350151609085,0.0914532442194639,0.070694814276594,0.0420897266014162,0.0687391113441666,0.0452124986318559,2.0828172490564336,0.4415862490996855,128-128-128,256,1000,375,2102.8773725130595
4,440,100,100000,corr,5,RealNVPN,relu,8,-5,0,None,0.1800520224288886,0.2438659938008544,0.0970854501996301,0.1021961299722279,0.0513096877901814,0.0315939683800527,0.050325196351333,0.0342368827306659,1.0729848533467303,0.1644861043229912,128-128-128,256,1000,351,1988.79085795302
5,520,100,100000,corr,5,RealNVPN,relu,8,-5,0,None,0.0327232365998378,0.0836748460736313,0.0259885211845671,0.0586776585225888,0.0805943447248619,0.0387262903819403,0.0782749550072888,0.0429809468816415,2.295456652386564,0.3100105851005164,128-128-128,256,1000,156,899.9820400280878
6,541,100,100000,corr,5,RealNVPN,relu,8,-5,0,None,0.0555380874237118,0.13274178312417,0.0405774304895157,0.0747662309695508,0.0865734621947929,0.0477621163259356,0.084856061442999,0.0539233251852904,2.198841567574505,0.4029600381962127,128-128-128,256,1000,384,2187.3386912336573
7,721,100,100000,corr,5,RealNVPN,relu,8,-5,0,None,0.0055346005655458,0.0391251819508592,0.004865490143395,0.0232298370795555,0.1762612497171228,0.0938485302418819,0.1716813527164539,0.1092674431427838,2.7036944713921622,0.3897342841555178,128-128-128,256,1000,700,3920.541149437893
8,869,100,100000,corr,5,RealNVPN,relu,8,-5,0,None,0.0924211915741318,0.1726063352077685,0.0636749067480605,0.090170100844932,0.0715389061445704,0.0436584835758029,0.0698443755694335,0.0462759913287154,2.201721213282446,0.453830382021669,128-128-128,256,1000,424,2405.60836040834
9,926,100,100000,corr,5,RealNVPN,relu,8,-5,0,None,2.662388758127562e-05,0.0003894773879849,0.001002855712443,7.638753861195446e-05,0.4701742845382863,0.2477499671172155,0.4599781624987368,0.294710819973833,6.358633618958586,0.3442868345629619,128-128-128,256,1000,541,3067.81255186582
10,933,100,100000,corr,5,RealNVPN,relu,8,-5,0,None,0.2809323856592147,0.28823665132301,0.1377678691977509,0.1054952551323706,0.0342064987008597,0.0201671357058507,0.0348267452992342,0.018868370090466,1.0779788078362378,0.1900216980525244,128-128-128,256,1000,314,1810.7681507929228
