run_n,seed_train,seed_test,seed_dist,seed_metrics,ndims,nsamples_train,nsamples_val,nsamples_test,correlation,nbijectors,bijector,spline_knots,range_min,hidden_layers,trainable_parameters,non_trainable_parameters,batch_size,activation,regulariser,eps_regulariser,training_device,epochs_input
7,187,188,0,0,4,100000,30000,100000,,10,RealNVPN,--,-5,128-128-128,339240,0,256,relu,,0.0,NVIDIA A40,1000
13,440,441,0,0,4,100000,30000,100000,,5,RealNVPN,--,-5,128-128-128,169620,0,256,relu,,0.0,NVIDIA A40,1000
22,541,542,0,0,4,100000,30000,100000,,5,RealNVPN,--,-5,256-256-256,666900,0,256,relu,,0.0,NVIDIA A40,1000
29,869,870,0,0,4,100000,30000,100000,,5,RealNVPN,--,-5,128-128-128,169620,0,256,relu,,0.0,NVIDIA A40,1000
40,933,934,0,0,4,100000,30000,100000,,10,RealNVPN,--,-5,256-256-256,1333800,0,256,relu,,0.0,NVIDIA A40,1000
46,187,188,0,0,8,100000,30000,100000,,5,RealNVPN,--,-5,256-256-256,674600,0,256,relu,,0.0,NVIDIA A40,1000
52,377,378,0,0,8,100000,30000,100000,,10,RealNVPN,--,-5,256-256-256,1349200,0,256,relu,,0.0,NVIDIA A40,1000
60,520,521,0,0,8,100000,30000,100000,,10,RealNVPN,--,-5,256-256-256,1349200,0,256,relu,,0.0,NVIDIA A40,1000
67,721,722,0,0,8,100000,30000,100000,,10,RealNVPN,--,-5,128-128-128,346960,0,256,relu,,0.0,NVIDIA A40,1000
78,933,934,0,0,8,100000,30000,100000,,5,RealNVPN,--,-5,256-256-256,674600,0,256,relu,,0.0,NVIDIA A40,1000
82,0,1,0,0,16,100000,30000,100000,,5,RealNVPN,--,-5,256-256-256,690000,0,256,relu,,0.0,NVIDIA A40,1000
87,187,188,0,0,16,100000,30000,100000,,10,RealNVPN,--,-5,128-128-128,362400,0,256,relu,,0.0,NVIDIA A40,1000
93,440,441,0,0,16,100000,30000,100000,,5,RealNVPN,--,-5,128-128-128,181200,0,256,relu,,0.0,NVIDIA A40,1000
106,721,722,0,0,16,100000,30000,100000,,5,RealNVPN,--,-5,256-256-256,690000,0,256,relu,,0.0,NVIDIA A40,1000
112,869,870,0,0,16,100000,30000,100000,,10,RealNVPN,--,-5,256-256-256,1380000,0,256,relu,,0.0,NVIDIA A40,1000
119,933,934,0,0,16,100000,30000,100000,,10,RealNVPN,--,-5,128-128-128,362400,0,256,relu,,0.0,NVIDIA A40,1000
130,377,378,0,0,32,100000,30000,100000,,5,RealNVPN,--,-5,256-256-256,720800,0,256,relu,,0.0,NVIDIA A40,1000
133,440,441,0,0,32,100000,30000,100000,,5,RealNVPN,--,-5,128-128-128,196640,0,256,relu,,0.0,NVIDIA A40,1000
145,721,722,0,0,32,100000,30000,100000,,5,RealNVPN,--,-5,128-128-128,196640,0,256,relu,,0.0,NVIDIA A40,1000
152,869,870,0,0,32,100000,30000,100000,,10,RealNVPN,--,-5,256-256-256,1441600,0,256,relu,,0.0,NVIDIA A40,1000
157,933,934,0,0,32,100000,30000,100000,,5,RealNVPN,--,-5,128-128-128,196640,0,256,relu,,0.0,NVIDIA A40,1000
165,187,188,0,0,64,100000,30000,100000,,5,RealNVPN,--,-5,128-128-128,227520,0,256,relu,,0.0,NVIDIA A40,1000
173,440,441,0,0,64,100000,30000,100000,,5,RealNVPN,--,-5,128-128-128,227520,0,256,relu,,0.0,NVIDIA A40,1000
178,520,521,0,0,64,100000,30000,100000,,5,RealNVPN,--,-5,256-256-256,782400,0,256,relu,,0.0,NVIDIA A40,1000
181,541,542,0,0,64,100000,30000,100000,,5,RealNVPN,--,-5,128-128-128,227520,0,256,relu,,0.0,NVIDIA A40,1000
187,721,722,0,0,64,100000,30000,100000,,10,RealNVPN,--,-5,128-128-128,455040,0,256,relu,,0.0,NVIDIA A40,1000
202,0,1,0,0,100,100000,30000,100000,,5,RealNVPN,--,-5,256-256-256,851700,0,256,relu,,0.0,NVIDIA A40,1000
