run_n,run_seed,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,kl_divergence,ks_test_mean,ks_test_median,ad_test_mean,ad_test_median,Wasserstein_median,Wasserstein_mean,frob_norm,hidden_layers,batch_size,epochs_input,epochs_output,time
1,0,8,100000,corr,5,MAFN,relu,8,-16,0,None,-1.0,0.4426905807939714,0.4549282861363009,0.1967821905033685,0.19741878190389692,0.021311838398230115,0.021311838398230115,0.08242030938415489,128-128-128,512,1000,129.0,296.4532017558813
2,0,8,100000,corr,5,MAFN,relu,8,-16,0,None,-1.0,0.443036894338084,0.4692506943814939,0.1981451184536324,0.1968449448024002,0.02089155394698385,0.02089155394698385,0.10653232249804342,256-256-256,512,1000,98.0,232.05411890614778
3,0,8,100000,corr,8,MAFN,relu,8,-16,0,None,-1.0,0.4536314193586183,0.44437022083474703,0.2007061224971152,0.1982737355166128,0.023413135142028328,0.023413135142028328,0.08265281014896526,128-128-128,512,1000,85.0,373.6969622066245
4,0,8,100000,corr,8,MAFN,relu,8,-16,0,None,,,,,,,,,256-256-256,512,1000,,
5,0,16,100000,corr,5,MAFN,relu,8,-16,0,None,-1.0,0.3715634825426531,0.4146534675717429,0.18919470128071966,0.16321627132701425,0.03896901728282716,0.03896901728282716,0.14041149819904647,128-128-128,512,1000,125.0,325.0808923114091
6,0,16,100000,corr,5,MAFN,relu,8,-16,0,None,-1.0,0.3752241207948824,0.4357738278658016,0.182274823935676,0.1590047175486262,0.02406299199286848,0.02406299199286848,0.1598552520350014,256-256-256,512,1000,94.0,246.51908158045262
7,0,16,100000,corr,8,MAFN,relu,8,-16,0,None,-1.0,0.3099943913138454,0.3866827745144451,0.16620243943611254,0.13375673513336556,0.03819764406140548,0.03819764406140548,0.13616443586220667,128-128-128,512,1000,78.0,287.8171832701192
8,0,16,100000,corr,8,MAFN,relu,8,-16,0,None,-1.0,0.3272157516967035,0.3733044540111746,0.16868867302337912,0.13790072490041988,0.04004312111824751,0.04004312111824751,0.16175865704910347,256-256-256,512,1000,86.0,343.16067177802324
