run_n,run_seed,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,ks_mean,ks_std,ad_mean,ad_std,wd_mean,wd_std,swd_mean,swd_std,fn_mean,fn_std,hidden_layers,batch_size,epochs_input,epochs_output,time
1,0,8,100000,corr,5,MAFN,relu,8,-5,0,None,0.4606958575167324,0.2897369711414803,0.2177103981931013,0.0622588428403666,0.0287166040776058,0.0174472687296191,0.0293973831336838,0.0174446103194322,0.049888101340524,0.0256828456380299,128-128-128,512,1000,586,6558.004040126
2,187,8,100000,corr,5,MAFN,relu,8,-5,0,None,0.4460975886083618,0.2698786810831803,0.2090204771500678,0.0703967501829772,0.0292744457067456,0.0190326104120201,0.0304386661605437,0.0191970641860384,0.0601510228252386,0.0272753193259672,128-128-128,512,1000,710,8006.757890181
3,377,8,100000,corr,5,MAFN,relu,8,-5,0,None,0.1537546881343852,0.1936253511090595,0.1202273880468204,0.0983911280885905,0.0645576203539163,0.0414979363155956,0.0676147578638355,0.0419191919754179,0.0989285385060547,0.0158546358256371,128-128-128,512,1000,557,6234.317406802998
4,440,8,100000,corr,5,MAFN,relu,8,-5,0,None,0.3361201855020259,0.266898899906016,0.1974751283573145,0.0765348213126715,0.0367906320175406,0.0213088517163234,0.0384846565360002,0.01992484498317,0.0612162389176891,0.0214974123411199,128-128-128,512,1000,583,6424.209780878002
5,520,8,100000,corr,5,MAFN,relu,8,-5,0,None,0.265917134391323,0.2470502743155539,0.1546229249990599,0.0971632930656421,0.0357134020565519,0.022848268009131,0.0380772731323472,0.0239926249011008,0.0705203209930581,0.0298688977922522,128-128-128,512,1000,739,8112.709880262999
6,541,8,100000,corr,5,MAFN,relu,8,-5,0,None,0.35539969838489,0.2958025145921565,0.1703999038741626,0.0957977001201992,0.0404132002981273,0.0284146103810818,0.0398537666159993,0.0303118402454964,0.0652440345102674,0.0194972149185901,128-128-128,512,1000,559,1573.0470246170298
7,721,8,100000,corr,5,MAFN,relu,8,-5,0,None,0.3907457469258814,0.2731855912687788,0.2012961260830389,0.0741796157652769,0.0339892194321507,0.0182014965223531,0.0352996335718597,0.0181230405982327,0.0634062328456445,0.0188310382739503,128-128-128,512,1000,638,5707.487971826995
8,869,8,100000,corr,5,MAFN,relu,8,-5,0,None,0.3241494273538057,0.2414037986624967,0.192636364406258,0.0812179486537819,0.0351260416358899,0.0161641284760672,0.0356301379088076,0.0173772291412725,0.0561232795279745,0.0199046891780139,128-128-128,512,1000,513,4724.206410180996
9,926,8,100000,corr,5,MAFN,relu,8,-5,0,None,0.43834937770444,0.2662033166506277,0.2169399939798755,0.0640479864981295,0.0285301166349378,0.0166841193062953,0.0300804726110367,0.0167939735941071,0.0587632647373932,0.0191666615473629,128-128-128,512,1000,483,4387.348118355003
10,933,8,100000,corr,5,MAFN,relu,8,-5,0,None,0.319855899313403,0.2906415477558091,0.1573123777228888,0.1024012406348518,0.0514787002814813,0.0389976519969924,0.0545159595455617,0.0386338798255143,0.0670143072434486,0.0190474598683836,128-128-128,512,1000,555,1562.9651413490064
