run_n,seed_train,seed_test,seed_dist,seed_metrics,ndims,nsamples_train,nsamples_val,nsamples_test,correlation,nbijectors,bijector,spline_knots,range_min,hidden_layers,trainable_parameters,non_trainable_parameters,batch_size,activation,regulariser,eps_regulariser,training_device,epochs_input
8,187,188,0,0,4,100000,30000,100000,,2,MsplineN,12,-16,256-256-256,337688,0,512,relu,,0.0,NVIDIA A40,1000
9,377,378,0,0,4,100000,30000,100000,,2,MsplineN,8,-16,128-128-128,91064,0,512,relu,,0.0,NVIDIA A40,1000
23,541,542,0,0,4,100000,30000,100000,,2,MsplineN,12,-16,128-128-128,103448,0,512,relu,,0.0,NVIDIA A40,1000
31,869,870,0,0,4,100000,30000,100000,,2,MsplineN,12,-16,128-128-128,103448,0,512,relu,,0.0,NVIDIA A40,1000
37,933,934,0,0,4,100000,30000,100000,,2,MsplineN,8,-16,128-128-128,91064,0,512,relu,,0.0,NVIDIA A40,1000
48,187,188,0,0,8,100000,30000,100000,,2,MsplineN,12,-16,256-256-256,411696,0,512,relu,,0.0,NVIDIA A40,1000
51,377,378,0,0,8,100000,30000,100000,,2,MsplineN,12,-16,128-128-128,140592,0,512,relu,,0.0,NVIDIA A40,1000
62,541,542,0,0,8,100000,30000,100000,,2,MsplineN,8,-16,256-256-256,362352,0,512,relu,,0.0,NVIDIA A40,1000
70,869,870,0,0,8,100000,30000,100000,,2,MsplineN,8,-16,256-256-256,362352,0,512,relu,,0.0,NVIDIA A40,1000
78,933,934,0,0,8,100000,30000,100000,,2,MsplineN,8,-16,256-256-256,362352,0,512,relu,,0.0,NVIDIA A40,1000
84,0,1,0,0,16,100000,30000,100000,,2,MsplineN,12,-16,256-256-256,559712,0,512,relu,,0.0,NVIDIA A40,1000
90,377,378,0,0,16,100000,30000,100000,,2,MsplineN,8,-16,256-256-256,461024,0,512,relu,,0.0,NVIDIA A40,1000
97,520,521,0,0,16,100000,30000,100000,,2,MsplineN,8,-16,128-128-128,165344,0,512,relu,,0.0,NVIDIA A40,1000
106,721,722,0,0,16,100000,30000,100000,,2,MsplineN,8,-16,256-256-256,461024,0,512,relu,,0.0,NVIDIA A40,1000
112,869,870,0,0,16,100000,30000,100000,,2,MsplineN,12,-16,256-256-256,559712,0,512,relu,,0.0,NVIDIA A40,1000
118,933,934,0,0,16,100000,30000,100000,,2,MsplineN,8,-16,256-256-256,461024,0,512,relu,,0.0,NVIDIA A40,1000
123,0,1,0,0,32,100000,30000,100000,,2,MsplineN,12,-16,128-128-128,363456,0,512,relu,,0.0,NVIDIA A40,1000
134,440,441,0,0,32,100000,30000,100000,,2,MsplineN,8,-16,256-256-256,658368,0,512,relu,,0.0,NVIDIA A40,1000
139,520,521,0,0,32,100000,30000,100000,,2,MsplineN,12,-16,128-128-128,363456,0,512,relu,,0.0,NVIDIA A40,1000
148,721,722,0,0,32,100000,30000,100000,,2,MsplineN,12,-16,256-256-256,855744,0,512,relu,,0.0,NVIDIA A40,1000
