run_n,seed_train,seed_test,seed_dist,seed_metrics,ndims,nsamples_train,nsamples_val,nsamples_test,correlation,nbijectors,bijector,spline_knots,range_min,hidden_layers,trainable_parameters,non_trainable_parameters,batch_size,activation,regulariser,eps_regulariser,training_device,epochs_input
46,541,542,0,0,4,100000,30000,100000,,10,CsplineN,8,-16,256-256-256,1441740,0,512,relu,,0.0,NVIDIA A40,1000
56,721,722,0,0,4,100000,30000,100000,,10,CsplineN,12,-16,256-256-256,1503420,0,512,relu,,0.0,NVIDIA A40,1000
67,926,927,0,0,4,100000,30000,100000,,5,CsplineN,12,-16,128-128-128,212190,0,512,relu,,0.0,NVIDIA A40,1000
75,933,934,0,0,4,100000,30000,100000,,5,CsplineN,12,-16,128-128-128,212190,0,512,relu,,0.0,NVIDIA A40,1000
84,0,1,0,0,8,100000,30000,100000,,5,CsplineN,12,-16,256-256-256,844220,0,512,relu,,0.0,NVIDIA A40,1000
85,0,1,0,0,8,100000,30000,100000,,10,CsplineN,8,-16,128-128-128,455320,0,512,relu,,0.0,NVIDIA A40,1000
94,187,188,0,0,8,100000,30000,100000,,10,CsplineN,8,-16,256-256-256,1565080,0,512,relu,,0.0,NVIDIA A40,1000
102,377,378,0,0,8,100000,30000,100000,,10,CsplineN,8,-16,256-256-256,1565080,0,512,relu,,0.0,NVIDIA A40,1000
112,440,441,0,0,8,100000,30000,100000,,10,CsplineN,12,-16,256-256-256,1688440,0,512,relu,,0.0,NVIDIA A40,1000
121,541,542,0,0,8,100000,30000,100000,,5,CsplineN,8,-16,128-128-128,227660,0,512,relu,,0.0,NVIDIA A40,1000
126,541,542,0,0,8,100000,30000,100000,,10,CsplineN,8,-16,256-256-256,1565080,0,512,relu,,0.0,NVIDIA A40,1000
133,721,722,0,0,8,100000,30000,100000,,10,CsplineN,8,-16,128-128-128,455320,0,512,relu,,0.0,NVIDIA A40,1000
144,869,870,0,0,8,100000,30000,100000,,10,CsplineN,12,-16,256-256-256,1688440,0,512,relu,,0.0,NVIDIA A40,1000
154,933,934,0,0,8,100000,30000,100000,,5,CsplineN,8,-16,256-256-256,782540,0,512,relu,,0.0,NVIDIA A40,1000
158,933,934,0,0,8,100000,30000,100000,,10,CsplineN,8,-16,256-256-256,1565080,0,512,relu,,0.0,NVIDIA A40,1000
