run_n,run_seed,ndims,nsamples,correlation,nbijectors,bijector,spline_knots,range_min,hidden_layers,batch_size,activation,eps_regulariser,regulariser,dist_seed,test_seed
9,926.0,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
9,,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
9,,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
9,,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
10,933.0,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
10,,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
10,,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
10,,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
10,,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
10,,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
10,,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
10,,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
10,,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
10,,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
10,,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
10,,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
10,,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
10,,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
10,,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
10,,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
10,,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
10,,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
10,,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
10,,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
10,,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
10,,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
10,,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
10,,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
10,,100,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
