run_n,seed_train,seed_test,seed_dist,seed_metrics,ndims,nsamples_train,nsamples_val,nsamples_test,correlation,nbijectors,bijector,spline_knots,range_min,hidden_layers,trainable_parameters,non_trainable_parameters,batch_size,activation,regulariser,eps_regulariser,training_device,epochs_input
2,0,1,0,0,4,100000,30000,100000,,5,CsplineN,8,-16,256-256-256,720870,0,512,relu,,0.0,NVIDIA A40,1000
7,0,1,0,0,4,100000,30000,100000,,10,CsplineN,12,-16,128-128-128,424380,0,512,relu,,0.0,NVIDIA A40,1000
11,187,188,0,0,4,100000,30000,100000,,5,CsplineN,12,-16,128-128-128,212190,0,512,relu,,0.0,NVIDIA A40,1000
15,187,188,0,0,4,100000,30000,100000,,10,CsplineN,12,-16,128-128-128,424380,0,512,relu,,0.0,NVIDIA A40,1000
19,377,378,0,0,4,100000,30000,100000,,5,CsplineN,12,-16,128-128-128,212190,0,512,relu,,0.0,NVIDIA A40,1000
23,377,378,0,0,4,100000,30000,100000,,10,CsplineN,12,-16,128-128-128,424380,0,512,relu,,0.0,NVIDIA A40,1000
27,440,441,0,0,4,100000,30000,100000,,5,CsplineN,12,-16,128-128-128,212190,0,512,relu,,0.0,NVIDIA A40,1000
31,440,441,0,0,4,100000,30000,100000,,10,CsplineN,12,-16,128-128-128,424380,0,512,relu,,0.0,NVIDIA A40,1000
35,520,521,0,0,4,100000,30000,100000,,5,CsplineN,12,-16,128-128-128,212190,0,512,relu,,0.0,NVIDIA A40,1000
40,520,521,0,0,4,100000,30000,100000,,10,CsplineN,12,-16,256-256-256,1503420,0,512,relu,,0.0,NVIDIA A40,1000
49,721,722,0,0,4,100000,30000,100000,,5,CsplineN,8,-16,128-128-128,196710,0,512,relu,,0.0,NVIDIA A40,1000
55,721,722,0,0,4,100000,30000,100000,,10,CsplineN,12,-16,128-128-128,424380,0,512,relu,,0.0,NVIDIA A40,1000
64,869,870,0,0,4,100000,30000,100000,,10,CsplineN,12,-16,256-256-256,1503420,0,512,relu,,0.0,NVIDIA A40,1000
73,933,934,0,0,4,100000,30000,100000,,5,CsplineN,8,-16,128-128-128,196710,0,512,relu,,0.0,NVIDIA A40,1000
79,933,934,0,0,4,100000,30000,100000,,10,CsplineN,12,-16,128-128-128,424380,0,512,relu,,0.0,NVIDIA A40,1000
