run_n,seed_train,seed_test,seed_dist,seed_metrics,ndims,nsamples_train,nsamples_val,nsamples_test,correlation,nbijectors,bijector,spline_knots,range_min,hidden_layers,trainable_parameters,non_trainable_parameters,batch_size,activation,regulariser,eps_regulariser,training_device,epochs_input
42,541,542,0,0,4,100000,30000,100000,,5,CsplineN,8,-16,256-256-256,720870,0,512,relu,,0.0,NVIDIA A40,1000
48,541,542,0,0,4,100000,30000,100000,,10,CsplineN,12,-16,256-256-256,1503420,0,512,relu,,0.0,NVIDIA A40,1000
58,869,870,0,0,4,100000,30000,100000,,5,CsplineN,8,-16,256-256-256,720870,0,512,relu,,0.0,NVIDIA A40,1000
68,926,927,0,0,4,100000,30000,100000,,5,CsplineN,12,-16,256-256-256,751710,0,512,relu,,0.0,NVIDIA A40,1000
76,933,934,0,0,4,100000,30000,100000,,5,CsplineN,12,-16,256-256-256,751710,0,512,relu,,0.0,NVIDIA A40,1000
83,0,1,0,0,8,100000,30000,100000,,5,CsplineN,12,-16,128-128-128,258620,0,512,relu,,0.0,NVIDIA A40,1000
88,0,1,0,0,8,100000,30000,100000,,10,CsplineN,12,-16,256-256-256,1688440,0,512,relu,,0.0,NVIDIA A40,1000
97,377,378,0,0,8,100000,30000,100000,,5,CsplineN,8,-16,128-128-128,227660,0,512,relu,,0.0,NVIDIA A40,1000
104,377,378,0,0,8,100000,30000,100000,,10,CsplineN,12,-16,256-256-256,1688440,0,512,relu,,0.0,NVIDIA A40,1000
113,520,521,0,0,8,100000,30000,100000,,5,CsplineN,8,-16,128-128-128,227660,0,512,relu,,0.0,NVIDIA A40,1000
119,520,521,0,0,8,100000,30000,100000,,10,CsplineN,12,-16,128-128-128,517240,0,512,relu,,0.0,NVIDIA A40,1000
135,721,722,0,0,8,100000,30000,100000,,10,CsplineN,12,-16,128-128-128,517240,0,512,relu,,0.0,NVIDIA A40,1000
147,926,927,0,0,8,100000,30000,100000,,5,CsplineN,12,-16,128-128-128,258620,0,512,relu,,0.0,NVIDIA A40,1000
152,926,927,0,0,8,100000,30000,100000,,10,CsplineN,12,-16,256-256-256,1688440,0,512,relu,,0.0,NVIDIA A40,1000
163,0,1,0,0,16,100000,30000,100000,,5,CsplineN,12,-16,128-128-128,351480,0,512,relu,,0.0,NVIDIA A40,1000
171,187,188,0,0,16,100000,30000,100000,,5,CsplineN,12,-16,128-128-128,351480,0,512,relu,,0.0,NVIDIA A40,1000
175,187,188,0,0,16,100000,30000,100000,,10,CsplineN,12,-16,128-128-128,702960,0,512,relu,,0.0,NVIDIA A40,1000
187,440,441,0,0,16,100000,30000,100000,,5,CsplineN,12,-16,128-128-128,351480,0,512,relu,,0.0,NVIDIA A40,1000
193,520,521,0,0,16,100000,30000,100000,,5,CsplineN,8,-16,128-128-128,289560,0,512,relu,,0.0,NVIDIA A40,1000
196,520,521,0,0,16,100000,30000,100000,,5,CsplineN,12,-16,256-256-256,1029240,0,512,relu,,0.0,NVIDIA A40,1000
201,541,542,0,0,16,100000,30000,100000,,5,CsplineN,8,-16,128-128-128,289560,0,512,relu,,0.0,NVIDIA A40,1000
205,541,542,0,0,16,100000,30000,100000,,10,CsplineN,8,-16,128-128-128,579120,0,512,relu,,0.0,NVIDIA A40,1000
