run_n,seed_train,seed_test,seed_dist,seed_metrics,ndims,nsamples_train,nsamples_val,nsamples_test,correlation,nbijectors,bijector,spline_knots,range_min,hidden_layers,trainable_parameters,non_trainable_parameters,batch_size,activation,regulariser,eps_regulariser,training_device,epochs_input
5,187,188,0,0,4,100000,30000,100000,,2,MsplineN,8,-16,128-128-128,91064,0,512,relu,,0.0,NVIDIA A40,1000
16,440,441,0,0,4,100000,30000,100000,,2,MsplineN,12,-16,256-256-256,337688,0,512,relu,,0.0,NVIDIA A40,1000
20,520,521,0,0,4,100000,30000,100000,,2,MsplineN,12,-16,256-256-256,337688,0,512,relu,,0.0,NVIDIA A40,1000
26,721,722,0,0,4,100000,30000,100000,,2,MsplineN,8,-16,256-256-256,313016,0,512,relu,,0.0,NVIDIA A40,1000
36,926,927,0,0,4,100000,30000,100000,,2,MsplineN,12,-16,256-256-256,337688,0,512,relu,,0.0,NVIDIA A40,1000
43,0,1,0,0,8,100000,30000,100000,,2,MsplineN,12,-16,128-128-128,140592,0,512,relu,,0.0,NVIDIA A40,1000
54,440,441,0,0,8,100000,30000,100000,,2,MsplineN,8,-16,256-256-256,362352,0,512,relu,,0.0,NVIDIA A40,1000
60,520,521,0,0,8,100000,30000,100000,,2,MsplineN,12,-16,256-256-256,411696,0,512,relu,,0.0,NVIDIA A40,1000
67,721,722,0,0,8,100000,30000,100000,,2,MsplineN,12,-16,128-128-128,140592,0,512,relu,,0.0,NVIDIA A40,1000
76,926,927,0,0,8,100000,30000,100000,,2,MsplineN,12,-16,256-256-256,411696,0,512,relu,,0.0,NVIDIA A40,1000
82,0,1,0,0,16,100000,30000,100000,,2,MsplineN,8,-16,256-256-256,461024,0,512,relu,,0.0,NVIDIA A40,1000
87,187,188,0,0,16,100000,30000,100000,,2,MsplineN,12,-16,128-128-128,214880,0,512,relu,,0.0,NVIDIA A40,1000
96,440,441,0,0,16,100000,30000,100000,,2,MsplineN,12,-16,256-256-256,559712,0,512,relu,,0.0,NVIDIA A40,1000
100,520,521,0,0,16,100000,30000,100000,,2,MsplineN,12,-16,256-256-256,559712,0,512,relu,,0.0,NVIDIA A40,1000
107,721,722,0,0,16,100000,30000,100000,,2,MsplineN,12,-16,128-128-128,214880,0,512,relu,,0.0,NVIDIA A40,1000
116,926,927,0,0,16,100000,30000,100000,,2,MsplineN,12,-16,256-256-256,559712,0,512,relu,,0.0,NVIDIA A40,1000
122,0,1,0,0,32,100000,30000,100000,,2,MsplineN,8,-16,256-256-256,658368,0,512,relu,,0.0,NVIDIA A40,1000
