run_n,seed_train,seed_test,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,ks_mean,ks_std,ad_mean,ad_std,wd_mean,wd_std,swd_mean,swd_std,fn_mean,fn_std,hidden_layers,batch_size,epochs_input,epochs_output,time
1,0,1,1000,100000,None,2,MsplineN,relu,12,-16,0,None,0.4599301986918959,0.2929297344996048,0.2087340611275379,0.0736427333998443,0.0343016370883453,0.0217811607799909,0.0341276191174283,0.0221269406382607,8.965823271661433,3.040214792180492,256-256-256,512,1000,773,10704.928988946953
2,187,188,1000,100000,None,2,MsplineN,relu,12,-16,0,None,0.000201770441486,0.0072252296558124,0.0011287195143836,0.0046643119947397,0.5423938478561993,0.2825586929892903,0.5404793243946625,0.3216494733368458,146.9037285245662,3.5626489095039093,256-256-256,512,1000,1000,13909.469291207031
3,377,378,1000,100000,None,2,MsplineN,relu,12,-16,0,None,0.3280575717659915,0.2548107223578884,0.1797715069494539,0.0872010282928991,0.0445468433745689,0.025780726233072,0.043711968768817,0.0261365462117789,9.566890182658591,1.646365637077442,256-256-256,512,1000,762,10431.754089301105
4,440,441,1000,100000,None,2,MsplineN,relu,12,-16,0,None,0.4298408715640703,0.2730275068216686,0.2097158178458155,0.0706861192744938,0.0358876821384239,0.0220043590872095,0.0358307515753143,0.0235651114218045,8.311542449323,1.6921256618956295,256-256-256,512,1000,829,11542.081980902934
5,520,521,1000,100000,None,2,MsplineN,relu,12,-16,0,None,0.4582927244872111,0.2868203259260572,0.2130159870698994,0.0684631303411185,0.0349693700412538,0.0213562352271458,0.0344803208243504,0.0223406376107653,7.49805089074569,1.0268639215111166,256-256-256,512,1000,1000,13763.35051945306
6,541,542,1000,100000,None,2,MsplineN,relu,12,-16,0,None,0.229727122114309,0.2402609559696528,0.1435022970981045,0.0958097451662717,0.0531294580243981,0.0320721615878866,0.0515442522557235,0.032850658248182,10.438732468102025,1.745422820976301,256-256-256,512,1000,714,9959.054995149956
7,721,722,1000,100000,None,2,MsplineN,relu,12,-16,0,None,0.090626518334404,0.1587742065023036,0.069361397950199,0.0847863896101152,0.0789232132003577,0.0460501397946343,0.076663048592698,0.0496070718139366,12.334384859829552,1.8545898001568597,256-256-256,512,1000,940,12944.24609071808
8,869,870,1000,100000,None,2,MsplineN,relu,12,-16,0,None,0.0053367507995486,0.0435417327296282,0.0040054020620727,0.0221115924223034,0.2423673766689432,0.1522162559052061,0.2331821857785801,0.1611255402195942,44.82981666820051,2.2944345135448,256-256-256,512,1000,967,13556.855039468035
9,926,927,1000,100000,None,2,MsplineN,relu,12,-16,0,None,0.436912958150506,0.282365670016751,0.2045085112576023,0.0740798119225587,0.0363028773975129,0.0218103335282939,0.0357008965468019,0.0224081269056856,9.68536695530454,2.661779135225556,256-256-256,512,1000,853,11963.508943154942
